,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
19,07-Mar-19,5:39:42 PM PST,FBA Inventory Fee,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
20,"Mar 25, 201",9 2:40:22 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
21,05-Apr-19,1:12:01 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
22,07-Apr-19,12:57:58 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
23,08-Apr-19,2:55:52 PM PDT,FBA Inventory Fee,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
24,09-Apr-19,1:33:17 AM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
25,"Apr 16, 201",9 2:13:39 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
26,"Apr 17, 201",9 1:13:49 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
27,07-May-19,1:08:17 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
28,07-May-19,1:08:17 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
29,"May 14, 201",9 12:07:49 AM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
30,"May 14, 201",9 11:52:38 AM PDT,FBA Inventory Fee,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
31,"May 22, 201",9 2:27:22 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
32,"May 22, 201",9 2:27:22 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
33,"May 22, 201",9 2:27:25 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
34,"May 22, 201",9 2:27:25 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
35,"May 22, 201",9 2:27:25 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
36,"May 22, 201",9 2:27:25 PM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
37,"Jun 10, 201",9 12:46:55 AM PDT,FBA Inventory Fee,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
38,"Jun 24, 201",9 10:32:53 AM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
39,"Jun 24, 201",9 10:32:53 AM PDT,FBA Inventory Fee,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
