,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
82,04-Mar-19,9:52:25 AM PST,Adjustment,SOT-140176,SOT-140176,FBA Inventory Reimbursement - Lost:Inbound,1.0,,,,0.0,-0.0,-0.0,23.41
83,05-Mar-19,1:59:21 AM PST,Adjustment,MOL-281000,MOL-281000,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,6.67
84,05-Mar-19,3:19:42 AM PST,Adjustment,3MM-1626W(25),3MM-1626W-25 PACK,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,
85,05-Mar-19,4:48:05 AM PST,Adjustment,3MM-2863(X2),3MM-2863(2),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,4.72
86,06-Mar-19,1:02:43 AM PST,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,3.43
87,07-Mar-19,10:19:24 AM PST,Adjustment,3MM-R1547,3MM-R1547(50 PACK),FBA Inventory Reimbursement - General Adjustment,1.0,,,,0.0,-0.0,-0.0,13.37
88,07-Mar-19,2:00:06 PM PST,Adjustment,3MM-1626W(10),3MM-1626W(10),FBA Inventory Reimbursement - General Adjustment,1.0,,,,0.0,-0.0,-0.0,1.96
89,"Mar 11, 201",9 1:26:47 AM PDT,Adjustment,3MM-1628,3MM-1628,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,7.92
90,"Mar 15, 201",9 1:34:22 AM PDT,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,3.43
91,"Mar 15, 201",9 3:32:54 AM PDT,Adjustment,3MM-R1547,3MM-R1547(50 PACK),FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,13.37
92,"Mar 17, 201",9 4:06:46 AM PDT,Adjustment,3MM-R1546,3MM-R1546(50),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,13.28
93,"Mar 19, 201",9 2:25:53 AM PDT,Adjustment,3MM-1626W(10),3MM-1626W(10),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.96
94,"Mar 19, 201",9 3:40:05 AM PDT,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,3.43
95,"Mar 19, 201",9 3:40:36 AM PDT,Adjustment,3MM-1626W(10),3MM-1626W(10),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.96
96,"Mar 19, 201",9 6:29:49 PM PDT,Adjustment,SOT-160214,SOT-160214,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,19.85
97,"Mar 20, 201",9 7:52:17 AM PDT,Adjustment,MOL-295400,MOL-295400,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,16.37
98,"Mar 21, 201",9 7:43:23 AM PDT,Adjustment,SOT-160172,SOT-160172,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,7.68
99,"Mar 25, 201",9 3:53:33 AM PDT,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,3.43
100,"Mar 26, 201",9 3:38:22 AM PDT,Adjustment,TOR-MS407W,TOR-MS407W(B),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,5.62
101,"Mar 27, 201",9 4:11:42 AM PDT,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,3.43
102,"Mar 28, 201",9 3:18:16 AM PDT,Adjustment,3MM-1626W(10),3MM-1626W(10),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.96
103,"Mar 28, 201",9 3:38:43 AM PDT,Adjustment,3MM-1626W,3MM-1626W(B),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,9.82
104,"Mar 29, 201",9 12:47:17 AM PDT,Adjustment,3MM-1626W(10),3MM-1626W(10),FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,1.96
105,"Mar 30, 201",9 11:18:21 PM PDT,Adjustment,3MM-R1547(10),3MM-R1547(10),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,2.67
106,04-Apr-19,4:35:47 AM PDT,Adjustment,3MM-1626W(10),3MM-1626W(10),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.96
107,04-Apr-19,6:15:44 AM PDT,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,3.43
108,05-Apr-19,4:16:34 AM PDT,Adjustment,3MM-1539(X3),3MM-1539,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,8.25
109,06-Apr-19,2:08:46 AM PDT,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,3.43
110,07-Apr-19,11:49:59 PM PDT,Adjustment,3MM-1624W,3MM-1624W(B),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,9.0
111,08-Apr-19,2:59:00 AM PDT,Adjustment,WEL-24400-U,WEL-24400U,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,3.29
112,08-Apr-19,3:06:54 AM PDT,Adjustment,3MM-1624W,3MM-1624W(B),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,9.0
113,08-Apr-19,5:10:11 AM PDT,Adjustment,3MM-1624W,3MM-1624W,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,9.0
114,09-Apr-19,2:43:16 AM PDT,Adjustment,3MM-R1546(5),3MM-R1546 (5),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,1.33
115,09-Apr-19,4:04:30 AM PDT,Adjustment,3MM-1527-2,3MM-1527-2,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,4.3
116,"Apr 10, 201",9 3:54:16 AM PDT,Adjustment,3MM-1624W,3MM-1624W(B),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,9.0
117,"Apr 10, 201",9 7:35:23 AM PDT,Adjustment,3MM-R1547(10),3MM-R1547(10),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,2.67
118,"Apr 11, 201",9 1:36:25 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
119,"Apr 11, 201",9 1:42:39 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
120,"Apr 11, 201",9 1:50:20 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
121,"Apr 11, 201",9 2:32:24 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
122,"Apr 11, 201",9 2:42:12 AM PDT,Adjustment,3MM-2560(X2),3MM-2560(100),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.46
