"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","selling fees","fba fees","other transaction fees","other","total"
"2018-01-09 8:43:29 PM PST","6546166651","Order","701-8431517-0350607","LUX-NEO320B","Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va","1","amazon.ca","Amazon","Ottawa","Ontario","K1V 0N5","69.94","6.99","0","-6.99","9.09","-8.39","-7.23","-0.26","0","63.15"
"2018-01-09 11:05:35 PM PST","6546166651","Order","701-8519456-3844219","1439","Tubigrip Size G Tubular Bandage 10M Box Natural (32.8ft/10.9yards)","1","amazon.ca","Amazon","Toronto","Ontario","M9A 1A5","51.07","0","0","0","6.64","-6.13","-6.78","-0.19","0","44.61"
"2018-01-10 1:55:39 AM PST","6546166651","Order","701-0612968-1637061","1443","Molnlycke 1443 Tubigrip Multipurpose Tubular Bandage, Size C, 2.75"" Width, Natural, 393.70"" Length","1","amazon.ca","Amazon","Quebec","Quebec","G1S 3E5","24.99","5.48","0","0","1.52","-3.00","-12.97","-0.04","0","15.98"
"2018-01-10 2:17:58 AM PST","6546166651","Order","701-0156686-2120233","LUX-NEO320B","Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va","1","amazon.ca","Amazon","Mississauga","ON","L5L 4X1","69.94","5.87","0","-5.87","9.09","-8.39","-7.23","-0.26","0","63.15"
"2018-01-10 6:28:59 AM PST","6546166651","Order","702-3370440-3655427","LUX-NEO110B","Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white)","1","amazon.ca","Amazon","Peterborough","Ontario","K9H 7R3","33.93","0","0","0","4.41","-4.07","-7.23","-0.13","0","26.91"
"2018-01-10 10:20:24 AM PST","6546166651","Order","701-3893478-4529835","LUX-NEO320B","Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va","1","amazon.ca","Amazon","Fort McMurray","Alberta","T9H 4X8","69.94","0","0","0","3.50","-8.39","-7.23","-0.10","0","57.72"
"2018-01-10 10:24:13 AM PST","6546166651","Order","701-1577601-2939425","3MM-1527-1","3M Transpore Tape 1 Inch X 10 Yds. 12 Rolls In A Box #1527-1","1","amazon.ca","Amazon","Toronto","Ontario","M4M 2M8","21.04","0","0","0","2.74","-2.52","-6.33","-0.08","0","14.85"
"2018-01-10 11:28:34 AM PST","6546166651","Order","701-5489480-6022652","3MM-1626W","3M Tegaderm Transparent Dressing with Label 4"" x 4 3/4"" (10 x 12 cm)50 per Box #1626W","1","amazon.ca","Amazon","Vancouver","British Columbia","V5N 4Z1","45.00","0","0","0","2.25","-5.40","-6.33","-0.07","0","35.45"
"2018-01-10 12:15:57 PM PST","6546166651","Order","702-7556461-5366657","LUX-NEO110B","Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white)","1","amazon.ca","Amazon","Etobicoke","Ontario","M8Y 0B3","33.93","6.99","0","-6.99","4.41","-4.07","-7.23","-0.13","0","26.91"
"2018-01-10 1:08:36 PM PST","6546166651","Order","701-4203248-9964231","LUX-NEO110B","Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white)","1","amazon.ca","Amazon","Belle River","Ontario","N0R 1A0","33.93","0","0","0","4.41","-4.07","-7.23","-0.13","0","26.91"
"2018-01-10 1:12:03 PM PST","6546166651","Order","702-2876038-1480202","LUX-NEO110B","Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white)","1","amazon.ca","Amazon","Cambridge","Ontario","N1T 1M3","33.93","3.93","0","-3.93","4.41","-4.07","-7.23","-0.13","0","26.91"
"2018-01-10 1:49:09 PM PST","6546166651","Refund","701-2224839-0819443","3MM-1624W","3M Health Care 1624W Tegaderm Film Dressing, Frame Style, 2.75"" Length X 2.375"" Width, Transparent (Pack of 100)","1","amazon.ca","Amazon","BARRIE","ON","L4N 2W6","0","0","0","0","0","0","0","0","-7.80","-7.80"
"2018-01-10 2:53:12 PM PST","6546166651","Order","701-8592354-5251461","LUX-1516","Luxe Metal T-adapter with Shut-off Valve, 3-way Tee Connector, Chrome Finish, for Luxe Neo Bidets","1","amazon.ca","Amazon","Ottawa","Ontario","K1G 4R7","14.94","0","0","0","1.94","-4.48","-4.30","-0.11","0","7.99"
"2018-01-10 2:53:12 PM PST","6546166651","Order","701-8592354-5251461","LUX-1516","Luxe Metal T-adapter with Shut-off Valve, 3-way Tee Connector, Chrome Finish, for Luxe Neo Bidets","1","amazon.ca","Amazon","Ottawa","Ontario","K1G 4R7","14.94","0","0","0","1.94","0","-4.30","0","0","12.58"
