,sku,Total-Quantity-Sold,Total-Product-Revenue,Total-Selling-Fee,Total-Fba-Fees,Total-Landing-Costs,Total-Product-Profit,Return on Sales,Profit Per Quantity Sold
76,BEU-0283-0679-02,48.0,1750.5600000000006,262.56,200.04000000000008,724.3200000000003,563.6400000000003,11.742500000000007,11.742500000000007
77,BEU-0283-0871-31,96.0,1087.7199999999993,163.36,191.6700000000003,425.2800000000005,307.4099999999985,3.2021874999999844,3.2021874999999844
78,BRO-HBMC-R,85.0,1613.8100000000009,242.2499999999997,434.0099999999995,682.5499999999986,255.00000000000318,3.0000000000000373,3.0000000000000373
79,BRO-HDFB-R,261.0,4802.789999999987,720.7099999999975,849.0200000000046,2328.120000000008,904.9399999999769,3.467203065134011,3.467203065134011
80,BRO-HGCS-R,100.0,1880.9699999999998,282.2900000000003,499.6099999999994,826.9999999999989,272.0700000000013,2.720700000000013,2.720700000000013
81,BRO-HIES-R,23.0,896.33,134.51999999999995,74.67999999999998,321.08000000000004,366.05000000000007,15.91521739130435,15.91521739130435
82,BRO-HNBO-R,153.0,3309.3199999999974,496.5099999999995,535.98,1799.2799999999988,477.5499999999988,3.121241830065352,3.121241830065352
83,BRO-HRLC-R,95.0,1873.5900000000015,280.99999999999983,313.16999999999985,923.4000000000018,356.02,3.747578947368421,3.747578947368421
84,BRO-HSAM-R,21.0,541.0,81.15,76.93,217.56000000000012,165.3599999999999,7.874285714285709,7.874285714285709
85,CON-125264E,21.0,808.4599999999999,121.27,76.11000000000001,265.4399999999999,345.64000000000004,16.45904761904762,16.45904761904762
86,CON-125265E,30.0,1334.8500000000001,200.24999999999994,119.58000000000003,379.1999999999999,635.8200000000003,21.19400000000001,21.19400000000001
87,CON-183910,151.0,1848.889999999997,277.5200000000001,287.6399999999998,729.3300000000006,554.3999999999965,3.6715231788079237,3.6715231788079237
88,CON-183910(X3),180.0,5109.259999999991,766.6099999999985,634.7499999999978,2608.1999999999944,1099.7000000000003,6.109444444444446,6.109444444444446
89,CON-183910E,30.0,414.59000000000003,62.19000000000002,60.689999999999976,103.50000000000004,188.20999999999998,6.273666666666666,6.273666666666666
90,CON-183910E(X3),60.0,1641.27,246.1800000000002,211.61000000000004,621.0000000000006,562.4799999999991,9.374666666666652,9.374666666666652
