date,order id,item,country,order city,order state,quantity,revenue,total cost,profit
02-01-2019,111-0787815-8787440,3MM-2862(3),,JUPITER,FL,1,10.79,15.01,-4.22
02-01-2019,113-4833788-0537811,MCR-1577,,BELLEVIEW,FL,1,44.88,38.02,6.86
02-01-2019,111-1589276-3982621,3MM-2862(2),,Mulberry,FL,1,9.71,8.72,0.99
02-01-2019,112-8516657-0534631,3MM-1539,,SEATTLE,WA,1,16.84,13.97,2.87
02-01-2019,113-1573715-0362653,3MM-2113,,ROCHESTER,NY,1,80,65.27,14.73
02-01-2019,111-1677589-3549819,MOL-281200-1,,CHESAPEAKE,OH,1,14.79,12.56,2.23
02-01-2019,112-8223205-9138613,3MM-2862(3),,Pacific Grove,CA,1,10.79,11.02,-0.23
02-01-2019,114-1641058-9767430,MDL-NON80328,,CHICAGO,IL,1,7.7,7.62,0.08
02-01-2019,111-8965785-9677026,MCR-1577,,SAN ANTONIO,TX,1,44.88,38.02,6.86
02-01-2019,112-9412163-8205830,3MM-2862(3),,MODESTO,CA,1,10.79,11.02,-0.23
02-01-2019,114-1475207-8897817,3MM-2862(3),,Lincoln,NE,1,10.79,11.02,-0.23
02-01-2019,113-2895657-3856217,MCR-1577,,MIAMI,FL,1,44.88,38.02,6.86
02-01-2019,112-9682593-4831467,MCR-1577,,RALEIGH,NC,1,44.88,38.02,6.86
02-01-2019,112-1162423-0606631,MDL-NON80328,,BELMONT,CA,1,7.7,7.62,0.08
02-01-2019,111-7099617-9360232,MCR-1577,,Fairfield,CA,1,44.88,38.02,6.86
02-01-2019,114-0170056-1633835,3MM-1626W-25 PACK,,SUNNY ISLES BEACH,FL,1,10.35,3.96,6.39
02-01-2019,113-4142581-1691427,3MM-2862(2),,KEY WEST,FL,1,9.77,8.72,1.05
02-01-2019,114-3606988-6729042,3MM-2113R,,SHERMAN OAKS,CA,1,74.99,64.67,10.32
02-01-2019,113-8802571-7369024,MOL-281000,,METAIRIE,LA,1,14.68,12.06,2.62
02-01-2019,111-3209549-0526640,3MM-2863(2),,Sevierville,TN,2,20.8,18.32,2.48
02-01-2019,111-1550156-4156227,3MM-2862(3),,TRYON,NC,1,10.79,11.02,-0.23
02-01-2019,112-7883012-9589827,3MM-2560(100),,LAUGHLIN,NV,1,13.7,11.29,2.41
02-01-2019,114-8594619-5240231,3MM-2862(3),,Fishkill,NY,1,10.79,11.02,-0.23
02-01-2019,113-8830702-2685834,3MM-2862(3),,CHATHAM,NJ,1,10.8,11.03,-0.23
02-01-2019,113-1791899-6296259,3MM-1626W(10),,JERSEY CITY,NJ,1,6.5,5.37,1.13
02-01-2019,113-2622570-6257045,3MM-2862(3),,JACKSONVILLE,FL,1,10.79,11.02,-0.23
02-01-2019,111-8248821-6372249,MOL-1434,,North Huntingdon,PA,1,27.98,15.08,12.9
02-01-2019,111-3620246-8024267,3MM-1626W(10),,New York,NY,2,13,10.74,2.26
02-01-2019,111-1811113-1995410,MOL-1451,,BERMUDA DUNES,CA,1,20.01,18,2.01
02-01-2019,111-7113967-5790605,3MM-2862(2),,BRONX,NY,1,9.79,11.06,-1.27
02-01-2019,111-7113967-5790605,3MM-2862(2),,BRONX,NY,2,19.58,15.1,4.48
02-01-2019,111-5953116-2932224,3MM-1527-2,,MANVEL,TX,1,12.61,10.9,1.71
02-01-2019,113-0897023-7929822,MOL-1443-1,,LOS ANGELES,CA,1,20.14,16.83,3.31
02-01-2019,114-6743494-4402614,3MM-R1546(50),,VALLEY SPRINGS,CA,1,26.94,27.73,-0.79
02-01-2019,113-1144522-9022653,SOT-140172,,SAN DIEGO,CA,1,37.73,32.26,5.47
02-01-2019,112-4755980-3184246,MDL-NON80328,,BEAVERTON,OR,1,7.7,7.62,0.08
02-01-2019,111-7780884-7005066,MOL-281000,,SAN DIEGO,CA,2,28,28.12,-0.12
02-01-2019,111-7780884-7005066,MOL-281000,,SAN DIEGO,CA,2,28,19.72,8.28
02-01-2019,114-4573716-8078614,3MM-2113,,LONG ISLAND CITY,NY,1,79,64.12,14.88
02-01-2019,113-6364767-7448258,3MM-1626W(10),,TULSA,OK,1,6.5,5.37,1.13
02-01-2019,111-8952254-3329044,3MM-2863(2),,BROOKLYN,NY,1,10.4,9.16,1.24
02-01-2019,111-9743862-2681021,3MM-2862(3),,OWASSO,OK,1,10.79,11.02,-0.23
02-01-2019,111-9743862-2681021,3MM-1527-2,,OWASSO,OK,1,12.65,10.91,1.74
02-01-2019,114-8732796-7854650,3MM-2862(3),,JACKSONVILLE,FL,1,10.79,11.02,-0.23
02-01-2019,113-1091896-4025029,3MM-2560(100),,Astoria,NY,1,13.7,11.29,2.41
02-01-2019,113-5643809-2082609,3MM-2862(3),,ASTORIA,NY,2,21.58,22.04,-0.46
02-01-2019,112-3165860-8822662,3MM-R1546(50),,CINCINNATI,OH,1,26.5,20.45,6.05
02-01-2019,113-4409658-8126651,CON-187660,,SAHUARITA,AZ,1,12.9,12.33,0.57
02-01-2019,114-6188719-1902626,3MM-2863(2),,Grand Junction,CO,1,10.4,9.16,1.24
02-01-2019,111-4567775-7409021,3MM-2113,,ORLANDO,FL,1,79,64.12,14.88
02-01-2019,114-6429428-6410659,3MM-1539,,KAYSVILLE,UT,1,16.84,13.97,2.87
02-01-2019,111-8204930-4889055,3MM-1527-2,,LOS ANGELES,CA,1,12.61,10.9,1.71
02-01-2019,111-6236485-1109815,3MM-1626W,,CONYERS,GA,1,17.95,15.7,2.25
02-01-2019,113-6113255-3344228,3MM-1626W,,DECATUR,GA,1,17.95,15.7,2.25
03-01-2019,112-8477705-8425849,3MM-1626W(10),,BEND,OR,1,6.5,5.37,1.13
03-01-2019,114-4358958-9757016,3MM-2560(100),,ALBANY,GA,1,13.7,11.29,2.41
03-01-2019,112-7888893-9813010,3MM-1626W(10),,LAKEWOOD,NJ,1,6.5,5.37,1.13
03-01-2019,113-0571529-6214642,3MM-B1557,,SAN FRANCISCO,CA,1,44.49,26.75,17.74
03-01-2019,112-2944942-5030619,MDL-NON80328,,OAKHURST,CA,1,8.03,7.62,0.41
03-01-2019,112-3304244-1867420,MOL-281000,,Corpus Christi,TX,1,14.69,12.06,2.63
03-01-2019,111-5352751-1014621,3MM-2862(3),,BROWN SUMMIT,NC,1,10.79,11.02,-0.23
03-01-2019,112-2269200-3509830,3MM-2862(3),,DURANT,OK,1,10.79,11.02,-0.23
03-01-2019,113-1545500-5767413,MDL-NON80328,,COLLINGSWOOD,NJ,1,8.03,7.62,0.41
03-01-2019,114-8465707-4804258,3MM-2862(3),,Oregon City,OR,1,10.79,11.02,-0.23
03-01-2019,114-1598160-9650646,3MM-2862(3),,RENTON,WA,2,21.58,27.2,-5.62
03-01-2019,114-1598160-9650646,3MM-2862(3),,RENTON,WA,4,43.16,38.92,4.24
03-01-2019,111-0947072-6435447,3MM-1527-2,,PHILADELPHIA,PA,1,12.64,10.91,1.73
03-01-2019,113-7325340-9850630,3MM-2862(3),,SANFORD,FL,1,10.79,11.02,-0.23
03-01-2019,112-8174938-6398651,3MM-2560(100),,Hemet,CA,10,137,112.94,24.06
03-01-2019,111-7760379-2132226,3MM-2862(3),,Apopka,FL,1,10.79,11.02,-0.23
03-01-2019,112-0822242-1341846,MOL-281000,,MORENO VALLEY,CA,1,14,11.96,2.04
03-01-2019,111-1254642-7393049,3MM-1626W(10),,Scottsdale,AZ,1,6.5,5.37,1.13
03-01-2019,112-6315466-4084224,3MM-1527-2,,Tujunga,CA,1,12.75,10.92,1.83
03-01-2019,111-9577182-4694625,3MM-1527-2,,GRAND RAPIDS,MI,1,12.64,10.91,1.73
03-01-2019,114-1126926-5116236,3MM-2862(3),,PRINCETON,MN,2,21.58,22.04,-0.46
03-01-2019,111-8173908-9088236,3MM-1626W(10),,OMAHA,NE,2,13,10.74,2.26
03-01-2019,114-8379324-4856248,3MM-2863(2),,EASTHAMPTON,MA,1,10.4,9.16,1.24
03-01-2019,113-8305058-9465822,MDL-NON80328,,SWANSEA,MA,1,8.03,7.62,0.41
03-01-2019,112-1974356-4429050,3MM-2863(2),,ELIZABETH CITY,NC,1,10.4,9.16,1.24
03-01-2019,112-7867879-2929825,3MM-1626W,,HOWARD CITY,MI,1,17.95,15.7,2.25
03-01-2019,111-9480385-4785848,3MM-1626W(10),,Fredericksburg,VA,1,6.5,5.37,1.13
03-01-2019,111-9139964-3008233,MOL-281000,,North Miami Beach,FL,1,14.68,12.06,2.62
03-01-2019,114-0847495-8009012,3MM-2863(2),,mankato,MN,1,10.4,9.16,1.24
03-01-2019,112-5349837-4093043,3MM-1539,,CORAL SPRINGS,FL,2,33.68,31.61,2.07
03-01-2019,111-6826987-6533014,3MM-1626W-25 PACK,,LAFAYETTE,TN,1,10.35,3.96,6.39
03-01-2019,111-6633650-0633864,3MM-2862(3),,DACULA,GA,1,10.79,11.02,-0.23
03-01-2019,112-0568489-7352256,CON-187660,,PASADENA,TX,1,12.9,12.33,0.57
03-01-2019,114-7776233-4583429,MDL-NON80328,,LAKEWOOD,CA,1,8.03,7.62,0.41
