,sku,Total-Quantity-Sold,Total-Product-Revenue,Total-Selling-Fee,Total-Fba-Fees,Total-Landing-Costs,Total-Cost,Total-Product-Profit,Return on Sales,Total Return= ROS - Operating Cost (10%),Profit Per Quantity Sold,"1: R.O.S>=15%, 0: else"
167,SOT-140176,152,5145.07,771.45,580.66,3558.32,4910.43,234.64,1.543684211,-8.456315789,1.543684211,0
168,SOT-154131,10,190.0,28.5,31.9,112.0,172.4,17.6,1.76,-8.24,1.76,0
169,SOT-160172,183,3228.7,484.57,583.28,1405.44,2473.29,755.41,4.127923497,-5.872076503,4.127923497,0
170,SOT-160214,122,3458.68,518.91,409.86,2421.7,3350.47,108.21,0.8869672129999999,-9.113032787,0.8869672129999999,0
171,SOT-166130,58,5032.22,754.8,214.97,2951.62,3921.39,1110.83,19.15224138,9.152241379,19.15224138,1
172,TOR-MS407W,75,1033.69,155.36,295.3,421.5,872.16,161.53,2.153733333,-7.846266667,2.153733333,0
173,TOR-MS407W(B),4971,55939.54,8401.4,12047.05,27937.02,48385.47,7554.07,1.519627841,-8.480372159,1.519627841,0
174,TOR-MS407W(C),104,1222.68,183.61,234.62,584.48,1002.71,219.97,2.115096154,-7.884903846,2.115096154,0
175,TOR-MS407W(X3),103,3497.88,524.27,519.43,1736.58,2780.28,717.6,6.966990291,-3.033009709,6.966990291,0
176,TOR-MS408W,740,8421.2,1265.4,1744.02,4158.8,7168.22,1252.98,1.693216216,-8.306783784,1.693216216,0
177,VEC-2410008,3,59.7,8.97,9.57,0.0,18.54,41.16,13.72,3.72,13.72,0
178,WEL-01690-410,16,3741.39,561.2,90.6,1893.44,2545.24,1196.15,74.759375,64.759375,74.759375,1
179,WEL-06000-800,701,8193.32,984.7,1582.68,4626.6,7193.98,999.34,1.425592011,-8.574407989,1.425592011,0
180,WEL-06190-200,1,239.58,28.75,5.47,118.34,152.56,87.02,87.02,77.02,87.02,1
181,WEL-24400U,497,3526.65,425.44,900.39,1635.13,2960.96,565.69,1.138209256,-8.861790744,1.138209256,0
182,WEL-5079135,7,578.76,69.46,33.22,0.0,102.68,476.08,68.01142857,58.01142857,68.01142857,1
183,WEL-52432-U,303,10853.1,1620.89,1437.53,5908.5,8966.92,1886.18,6.225016502000001,-3.774983498,6.225016502000001,0
184,WEL-52432-U(34 PACK),74,681.54,102.12,114.78,0.0,216.9,464.64,6.278918919,-3.7210810810000003,6.278918919,0
185,WEL-52432-U(X25),59,1978.17,296.87,201.5,1150.5,1648.87,329.3,5.581355932,-4.418644068,5.581355932,0
186,WEL-52434-U(102 PACK),147,1064.28,146.35,269.56,343.98,759.89,304.39,2.0706802719999997,-7.929319727999999,2.0706802719999997,0
187,WEL-52434-U(850),63,2130.05,255.59,214.44,1228.5,1698.53,431.52,6.84952381,-3.15047619,6.84952381,0
188,WEL-52434-U(A),2,11.49,2.0,6.38,0.0,8.38,3.11,1.555,-8.445,1.555,0
189,WEL-52434-U(X25),138,4863.77,583.63,459.17,2691.0,3733.8,1129.97,8.188188406,-1.8118115940000001,8.188188406,0
190,WEL-92821,25,8490.0,1018.8,107.17,5544.75,6670.72,1819.28,72.7712,62.7712,72.7712,1
