date,type,order id,sku,quantity,product sales
03-Jan-19,Order,114-4030092-9710650,3MM-2862(3),1,10.79
03-Jan-19,Order,114-8807951-5837052,3MM-2560(100),1,13.7
03-Jan-19,Order,114-4420250-5253801,MOL-281000,1,14.68
03-Jan-19,Order,112-7361365-0137033,3MM-2862(2),2,19.56
03-Jan-19,Order,113-4122789-8692262,MCR-1577,1,44.88
03-Jan-19,Order,113-7376891-4077866,3MM-1626W(10),1,6.5
03-Jan-19,Order,112-5896443-3535442,3M-1539,1,16.68
03-Jan-19,Order,113-3238359-8381862,3MM-1626W(10),3,19.5
03-Jan-19,Order,114-4150586-7353029,3MM-2862(2),2,19.14
03-Jan-19,Order,111-1836252-8581868,3MM-1626W(10),1,6.5
03-Jan-19,Order,111-2297960-4129855,3MM-1626W(10),1,6.5
03-Jan-19,Order,112-7908350-4544211,3MM-1527-2,1,12.64
03-Jan-19,Order,112-4725037-8461831,3MM-1626W-25 Pack,2,20.7
03-Jan-19,Order,113-0171738-4024266,MOL-281000,1,14.69
03-Jan-19,Order,111-6910526-6631412,CON-187660,1,12.9
03-Jan-19,Order,114-5369513-8775411,SOT-140176,1,32.95
03-Jan-19,Order,112-9215789-7273035,3MM-1626W(10),1,6.5
03-Jan-19,Order,113-9066253-2874628,SOT-154131,1,19
03-Jan-19,Order,111-0169749-9744230,3MM-2560(100),1,13.7
03-Jan-19,Order,111-2377586-2931468,3MM-2862(3),1,10.79
03-Jan-19,Order,112-4775709-6482636,MOL-281000,2,29.36
03-Jan-19,Order,111-2091961-2498658,MDL-NON80328,1,8.03
03-Jan-19,Order,112-4352029-7126654,MOL-1451,1,20.01
03-Jan-19,Order,113-4356863-2962666,3M-2863(2),1,10.4
03-Jan-19,Order,111-6157245-5037866,3MM-1527-2,1,12.61
03-Jan-19,Order,112-0930431-7228263,3MM-1626W(10),1,6.5
03-Jan-19,Order,112-7259304-5711406,3MM-1626W(10),1,6.5
03-Jan-19,Order,114-9380379-7663421,SOT-140176,1,32.95
03-Jan-19,Order,114-5604068-4285801,MOL-1451,1,20.01
03-Jan-19,Order,114-9126951-8017043,SOT-166130,1,78.15
03-Jan-19,Order,114-3523975-7726649,SOT-166130,1,78.15
03-Jan-19,Order,111-7563427-4586652,SOT-140176,1,32.95
03-Jan-19,Order,111-4068348-2935452,3M-2113,1,79
03-Jan-19,Order,113-1464250-8196212,MCR-1577,1,44.88
03-Jan-19,Order,113-2007951-1704215,3MM-2862(3),1,10.79
03-Jan-19,Order,113-2317100-4429818,MOL-281200-1,1,14
03-Jan-19,Order,114-9172909-3800243,WEL-52432-U,2,67
03-Jan-19,Order,113-4424416-4851438,3MM-2862(2),1,9.57
03-Jan-19,Order,111-3450970-1083468,MOL-1434,1,27.98
03-Jan-19,Order,111-2650792-4818656,3MM-1626W(10),1,6.5
03-Jan-19,Order,114-1642046-0353831,MDL-NON80328,1,8.03
03-Jan-19,Order,114-6206203-8316257,MCR-1577,1,44.88
03-Jan-19,Order,112-6341743-9436258,3MM-1626W-25 Pack,1,10.35
03-Jan-19,Order,112-4019632-3050615,3MM-2862(3),1,10.79
03-Jan-19,Order,112-6158226-9495439,3M-1539,1,16.83
03-Jan-19,Order,111-4565859-6179423,WEL-52432-U,1,33.5
03-Jan-19,Order,113-0327812-3773841,3M-2113,1,79
03-Jan-19,Order,112-1923722-3205047,3MM-1626W(10),1,6.5
03-Jan-19,Order,112-1923722-3205047,3MM-1626W(10),1,6.5
03-Jan-19,Order,113-2550000-8718645,3MM-2862(3),1,10.79
03-Jan-19,Order,114-9359701-4942655,MCR-1577,1,44.88
03-Jan-19,Order,112-9810612-6437023,WEL-52432-U,1,33.5
03-Jan-19,Order,111-3734564-4829012,3MM-1527-2,1,12.75
03-Jan-19,Order,113-5785312-8751443,MOL-281000,1,14.68
03-Jan-19,Order,112-0853373-9145050,3MM-1626W(10),1,6.5
03-Jan-19,Order,113-2555714-4137010,3M-1539,1,16.68
03-Jan-19,Order,111-7214759-3297044,SOT-140176,1,32.95
03-Jan-19,Order,111-2434746-1622626,3M-2113R,1,74.99
03-Jan-19,Order,114-9580772-8081814,3MM-2862(3),1,10.79
03-Jan-19,Order,112-8264776-7837027,3MM-1626W(10),1,6.5
03-Jan-19,Order,113-5310166-7541056,3M-2113,1,79
03-Jan-19,Order,113-2563446-2969041,3MM-2862(3),2,21.58
03-Jan-19,Order,112-5020929-1270610,3MM-2862(3),1,10.79
03-Jan-19,Order,112-5020929-1270610,3MM-2862(3),1,10.79
03-Jan-19,Order,112-5076230-2621044,SOT-160214,1,29.09
03-Jan-19,Order,113-5754677-1304269,3M-1539,1,16.84
03-Jan-19,Order,114-2336743-3681865,3MM-R1546(50),1,26.5
03-Jan-19,Order,114-7027565-0641042,3MM-1626W(10),1,6.5
03-Jan-19,Order,112-0540758-7701839,3MM-2866,1,10.75
03-Jan-19,Order,112-0540758-7701839,3MM-2866,1,10.75
03-Jan-19,Order,113-6537468-3581037,3M-2863(2),1,10.4
03-Jan-19,Order,113-9988126-4345840,CON-187660-1,1,12.65
03-Jan-19,Order,113-9988126-4345840,CON-187660-1,1,12.65
03-Jan-19,Order,111-5549617-4615408,3MM-B1551,1,34.31
03-Jan-19,Order,112-9818966-9115419,MOL-281200-1,1,14
